strain	virus	date	region	country	gisaid_epi_isl
DR0213	ncov	2020-12-07	Caribbean	Dominican Republic	NA
DR0214	ncov	2020-12-07	Caribbean	Dominican Republic	NA
DR0215	ncov	2020-12-07	Caribbean	Dominican Republic	NA
DR0216	ncov	2020-12-07	Caribbean	Dominican Republic	NA
DR0217	ncov	2020-12-07	Caribbean	Dominican Republic	NA
DR0218	ncov	2020-12-08	Caribbean	Dominican Republic	NA
DR0219	ncov	2020-12-08	Caribbean	Dominican Republic	NA
DR0220	ncov	2020-12-09	Caribbean	Dominican Republic	NA
DR0221	ncov	2020-12-10	Caribbean	Dominican Republic	NA
DR0222	ncov	2020-12-10	Caribbean	Dominican Republic	NA
DR0223	ncov	2020-12-17	Caribbean	Dominican Republic	NA
DR0224	ncov	2020-12-17	Caribbean	Dominican Republic	NA
DR0225	ncov	2020-12-17	Caribbean	Dominican Republic	NA
DR0226	ncov	2020-12-17	Caribbean	Dominican Republic	NA
DR0227	ncov	2020-12-17	Caribbean	Dominican Republic	NA
DR0228	ncov	2020-12-17	Caribbean	Dominican Republic	NA
DR0229	ncov	2020-12-17	Caribbean	Dominican Republic	NA
DR0230	ncov	2020-12-17	Caribbean	Dominican Republic	NA
DR0231	ncov	2020-12-18	Caribbean	Dominican Republic	NA
DR0232	ncov	2020-12-18	Caribbean	Dominican Republic	NA
DR0233	ncov	2020-12-18	Caribbean	Dominican Republic	NA
DR0234	ncov	2020-12-21	Caribbean	Dominican Republic	NA
DR0235	ncov	2020-12-22	Caribbean	Dominican Republic	NA
DR0236	ncov	2020-12-22	Caribbean	Dominican Republic	NA
DR0237	ncov	2020-12-22	Caribbean	Dominican Republic	NA
DR0238	ncov	2020-12-22	Caribbean	Dominican Republic	NA
DR0239	ncov	2020-12-22	Caribbean	Dominican Republic	NA
DR0240	ncov	2020-12-22	Caribbean	Dominican Republic	NA
DR0241	ncov	2020-12-23	Caribbean	Dominican Republic	NA
DR0242	ncov	2020-12-23	Caribbean	Dominican Republic	NA
DR0243	ncov	2021-01-22	Caribbean	Dominican Republic	NA
DR0244	ncov	2021-01-22	Caribbean	Dominican Republic	NA
DR0245	ncov	2021-01-26	Caribbean	Dominican Republic	NA
DR0246	ncov	2021-01-26	Caribbean	Dominican Republic	NA
DR0247	ncov	2021-01-26	Caribbean	Dominican Republic	NA
DR0248	ncov	2021-01-27	Caribbean	Dominican Republic	NA
DR0249	ncov	2021-01-27	Caribbean	Dominican Republic	NA
DR0250	ncov	2021-01-27	Caribbean	Dominican Republic	NA
DR0251	ncov	2021-01-27	Caribbean	Dominican Republic	NA
DR0252	ncov	2021-01-27	Caribbean	Dominican Republic	NA
DR0253	ncov	2021-01-27	Caribbean	Dominican Republic	NA
DR0254	ncov	2021-01-27	Caribbean	Dominican Republic	NA
DR0255	ncov	2021-01-27	Caribbean	Dominican Republic	NA
